Season,Bowler,out,Striker
2012,201,3,31
2011,270,3,185
2014,364,3,208
2009,61,3,9
2015,50,3,147
2015,71,3,57
2013,310,3,42
2008,32,3,41
2014,367,2,8
2014,367,2,162
2015,350,2,21
2016,429,2,71
2008,77,2,95
2012,194,2,136
2011,31,2,21
2017,452,2,85
2013,61,2,299
2017,403,2,8
2011,126,2,188
2008,61,2,71
2013,106,2,79
2011,235,2,26
2011,201,2,162
2015,35,2,32
2017,462,2,20
2008,73,2,8
2011,27,2,42
2014,166,2,96
2014,315,2,8
2015,67,2,27
2014,378,2,40
2014,392,2,31
2014,296,2,183
2009,44,2,147
2016,334,2,355
2017,322,2,254
2016,367,2,85
2009,14,2,21
2017,413,2,110
2010,221,2,18
2010,233,2,21
2012,89,2,137
2012,14,2,42
2017,403,2,351
2013,310,2,357
2017,322,2,488
2017,166,2,85
2010,50,2,178
2008,77,2,33
2013,71,2,209
2016,32,2,35
2012,316,2,41
2015,194,2,320
2015,382,2,21
2015,316,2,35
2015,71,2,166
2013,71,2,50
2013,357,2,23
2010,136,2,183
2015,398,2,183
2015,371,2,166
2010,121,2,64
2011,109,2,52
2016,80,2,57
2011,38,2,57
2015,194,2,394
2009,136,2,38
2017,232,2,351
2016,460,2,32
2011,270,2,40
2015,359,2,154
2016,460,2,35
2009,73,2,54
2012,67,2,214
2011,201,2,46
2012,333,2,221
2017,371,2,420
2009,177,2,44
2013,280,2,46
2013,349,2,185
2011,201,2,266
2012,39,2,4
2013,32,2,208
2009,109,2,9
2014,190,2,62
2015,73,2,311
2014,367,2,147
2010,191,2,6
2014,367,2,17
2010,188,2,96
2015,73,2,8
2012,321,2,109
2013,350,2,40
2015,232,2,183
2016,460,2,400
2015,378,2,71
2010,124,2,53
2013,357,2,21
2013,192,2,26
2010,186,2,79
2017,489,2,254
2016,299,2,85
2014,35,2,46
2016,434,2,14
2009,124,2,26
2012,106,2,50
2016,334,2,393
2012,333,2,57
2015,163,2,197
2012,451,2,187
2016,413,2,110
2017,375,2,20
2014,293,2,208
2017,14,2,42
2016,201,2,208
2013,39,2,57
2014,232,2,41
2011,126,2,4
2015,80,2,17
2015,73,2,88
2017,486,2,351
2009,61,2,44
2008,120,2,24
2008,102,2,95
2015,71,2,401
2014,67,2,320
2014,67,2,305
2017,375,2,420
2008,39,2,9
2017,299,2,96
2013,109,2,207
2014,386,2,345
2012,221,2,23
2009,81,2,22
2013,83,2,46
2013,50,2,201
2009,194,2,17
2016,429,2,46
2012,67,2,266
2010,67,2,133
2015,398,2,305
2013,9,2,236
2017,228,2,85
2010,15,2,97
2013,201,2,4
2014,194,2,276
2013,81,2,104
2009,124,2,57
2011,186,2,110
2012,294,2,10
2013,50,2,277
2014,363,2,27
2015,311,2,237
2011,201,2,260
2012,15,2,40
2014,370,2,96
2016,299,2,21
2012,81,2,57
2013,71,2,329
2009,73,2,168
