Season,Striker,runs_scored_against,Bowler
2014,305,71,201
2013,8,63,232
2014,320,60,35
2014,305,59,166
2010,185,58,226
2008,101,56,120
2013,20,52,221
2013,147,52,140
2016,8,51,71
2017,427,51,194
2016,187,51,425
2014,21,50,67
2008,57,50,437
2013,162,50,120
2013,221,49,71
2008,32,49,91
2016,221,48,32
2008,109,48,38
2017,187,48,315
2017,315,48,452
2014,221,47,136
2013,110,47,106
2014,62,47,232
2009,97,46,14
2015,383,46,73
2016,147,45,382
2013,221,45,35
2016,187,45,14
2016,57,45,334
2016,110,44,14
2011,20,44,162
2015,221,44,71
2016,110,44,35
2010,183,44,186
2014,96,43,392
2012,85,43,270
2015,334,43,395
2011,32,43,194
2013,162,43,286
2016,8,43,422
2017,20,43,299
2012,162,43,333
2012,133,43,109
2014,305,43,147
2010,64,42,61
2013,221,42,280
2016,187,42,403
2014,21,42,357
2012,32,42,83
2014,21,42,333
2011,133,42,81
2014,62,42,67
2017,427,41,477
2014,62,41,315
2014,305,41,136
2012,147,41,451
2013,32,41,84
2017,21,41,479
2010,109,41,38
2016,413,41,386
2013,32,41,350
2015,306,40,194
2016,354,40,403
2016,355,40,270
2012,40,40,311
2009,18,40,81
2008,21,40,67
2014,114,40,190
2016,413,40,136
2012,204,40,221
2014,41,40,73
2014,147,39,347
2015,383,39,35
2015,187,39,364
2015,110,39,194
2014,41,39,35
2017,46,39,489
2014,345,39,190
2015,110,39,32
2016,187,39,50
2009,53,39,73
2014,21,39,367
2009,53,39,223
2010,21,38,71
2015,2,38,405
2010,87,38,29
2008,74,38,15
2012,57,38,9
2017,351,38,232
2016,110,38,163
2010,183,38,109
2016,8,38,15
2008,41,37,120
2015,339,37,136
2016,8,37,432
2013,162,37,253
2015,383,37,166
2008,100,37,124
2016,27,37,462
2015,147,37,398
2013,8,37,201
2015,383,37,201
2011,42,37,188
2016,339,37,429
2016,8,37,14
2008,44,37,84
2017,345,37,489
2014,303,37,372
2011,41,37,136
2015,40,37,50
2017,187,37,462
2012,162,37,235
2015,21,37,50
2008,44,36,109
2012,185,36,296
2011,162,36,160
2010,133,36,84
2014,147,36,310
2011,8,36,186
2016,20,36,374
2013,32,36,280
2009,18,36,9
2015,46,36,73
2010,224,36,109
2011,162,36,294
2014,46,36,357
2015,393,36,403
2011,8,36,109
2017,46,36,163
2015,57,35,364
2010,185,35,31
2015,85,35,371
2017,85,35,403
2016,110,35,71
2012,236,35,326
2016,8,35,163
2017,17,35,497
2015,162,35,367
2009,27,35,9
2012,10,35,235
2016,8,35,280
2015,154,35,375
2012,57,35,258
2015,147,35,50
2011,100,35,268
2014,96,35,333
2015,21,35,382
2012,40,35,15
2014,339,35,131
2013,57,35,106
2015,85,35,73
2008,57,35,89
2016,420,35,21
2013,8,35,136
2014,62,35,190
2016,355,35,374
2014,31,35,94
2008,56,35,38
2017,315,35,270
2014,187,35,382
2013,85,35,333
2015,110,34,403
2011,20,34,244
2010,27,34,38
2015,110,34,400
2012,46,34,311
2016,31,34,35
2012,41,34,235
2014,197,34,364
2012,41,34,297
2017,336,34,382
2008,32,34,14
2008,100,34,61
2010,133,34,186
2014,110,34,362
2010,29,34,61
2015,334,34,374
2013,19,34,136
2013,254,34,29
2009,56,34,136
2012,4,34,136
2011,167,34,109
2009,110,34,155
2011,162,34,346
2013,85,34,357
2015,57,34,315
2012,275,33,14
2012,9,33,15
2008,31,33,105
2008,44,33,91
2017,221,33,136
2014,41,33,9
2008,4,33,437
2011,275,33,151
2013,32,33,35
2012,41,33,75
2017,410,33,270
2017,110,33,367
2015,110,33,310
2016,46,33,299
2011,185,33,270
2008,2,33,15
2016,85,33,347
2016,420,33,460
2015,2,33,458
2016,385,33,32
2013,10,33,81
2013,362,33,32
2016,187,33,382
2011,187,33,274
2010,46,33,50
2014,187,33,221
2010,56,32,186
2016,187,32,367
2016,162,32,374
2008,57,32,90
2013,64,32,66
2017,407,32,367
2008,31,32,61
2014,276,32,382
2010,1,32,234
2011,79,32,21
2016,31,32,418
2015,162,32,299
2011,8,32,136
2016,8,32,89
2008,2,32,14
2017,305,32,403
2008,2,32,9
2016,8,32,367
2012,10,32,299
2010,9,32,228
2009,9,32,27
2014,305,32,89
2015,162,32,357
2017,85,32,400
2017,488,32,371
2014,85,32,81
2016,21,32,299
2017,2,32,386
2016,276,32,71
2009,18,32,77
2015,57,32,232
2008,31,32,131
2014,154,32,106
2016,8,31,67
2009,44,31,9
2008,41,31,15
2010,1,31,131
2013,216,31,67
2008,40,31,94
2008,20,31,94
2017,413,31,258
2010,185,31,14
2014,20,31,346
2012,162,31,89
2011,136,31,126
2015,21,31,140
2012,162,31,322
2008,32,31,124
2014,41,31,364
2008,41,31,56
2017,187,31,422
2009,96,31,206
2017,306,31,228
2013,8,31,280
2010,161,31,14
2017,237,31,136
2015,208,31,71
2010,21,31,15
2008,56,31,39
2011,100,31,25
2015,8,31,375
2017,21,31,462
2011,8,31,201
2014,88,31,9
2013,162,31,126
2010,88,31,238
2012,162,31,299
2014,254,30,131
2012,2,30,29
2013,8,30,293
2016,147,30,140
2009,8,30,121
2013,21,30,84
2016,8,30,430
2017,400,30,106
2014,254,30,346
2010,57,30,39
2010,214,30,9
2013,19,30,357
2010,31,30,131
2012,40,30,186
2017,476,30,477
2015,2,30,84
2014,46,30,359
2016,21,30,403
2015,100,30,390
2017,85,30,413
2010,32,30,121
2015,62,30,270
2015,236,30,310
2013,255,30,71
2017,62,30,403
2012,162,30,334
2012,154,30,196
2012,96,30,232
2011,110,30,186
2016,46,30,136
2015,383,30,296
2008,6,30,78
2015,221,30,35
2013,6,30,84
