player_id,Season,balls_played,runs_scored,Strike_rate
187,2017,462,641,138.7445887
40,2017,405,498,122.962963
42,2017,383,479,125.0652742
306,2017,400,472,118
21,2017,310,442,142.5806452
427,2017,296,420,141.8918919
96,2017,315,396,125.7142857
17,2017,308,395,128.2467532
221,2017,294,395,134.3537415
488,2017,275,391,142.1818182
46,2017,239,388,162.3430962
351,2017,275,386,140.3636364
85,2017,328,382,116.4634146
420,2017,226,366,161.9469027
88,2017,268,361,134.7014925
393,2017,249,338,135.7429719
431,2017,277,333,120.2166065
57,2017,278,333,119.7841727
87,2017,242,324,133.8842975
2,2017,227,320,140.969163
476,2017,227,316,139.2070485
305,2017,186,310,166.6666667
8,2017,257,308,119.844358
254,2017,190,300,157.8947368
336,2017,175,295,168.5714286
20,2017,261,290,111.1111111
339,2017,229,281,122.7074236
410,2017,214,277,129.4392523
163,2017,205,277,135.1219512
407,2017,185,273,147.5675676
237,2017,194,267,137.628866
100,2017,198,264,133.3333333
396,2017,170,256,150.5882353
27,2017,188,252,134.0425532
400,2017,172,250,145.3488372
413,2017,186,243,130.6451613
147,2017,158,239,151.2658228
62,2017,194,234,120.6185567
345,2017,170,229,134.7058824
374,2017,171,227,132.748538
315,2017,135,224,165.9259259
110,2017,171,216,126.3157895
162,2017,172,200,116.2790698
236,2017,178,188,105.6179775
35,2017,118,158,133.8983051
350,2017,97,154,158.7628866
417,2017,109,151,138.5321101
322,2017,114,144,126.3157895
31,2017,123,143,116.2601626
372,2017,130,142,109.2307692
421,2017,107,138,128.9719626
383,2017,116,137,118.1034483
415,2017,88,132,150
478,2017,92,126,136.9565217
308,2017,89,105,117.9775281
455,2017,77,101,131.1688312
208,2017,80,91,113.75
320,2017,82,83,101.2195122
258,2017,52,79,151.9230769
183,2017,70,79,112.8571429
255,2017,77,78,101.2987013
394,2017,53,78,147.1698113
405,2017,54,77,142.5925926
32,2017,80,71,88.75
216,2017,62,65,104.8387097
481,2017,41,59,143.902439
482,2017,68,55,80.88235294
310,2017,60,54,90
471,2017,30,53,176.6666667
79,2017,46,52,113.0434783
385,2017,27,51,188.8888889
364,2017,51,51,100
166,2017,42,49,116.6666667
136,2017,56,49,87.5
479,2017,47,46,97.87234043
491,2017,31,38,122.5806452
347,2017,24,36,150
257,2017,40,33,82.5
191,2017,28,32,114.2857143
270,2017,40,32,80
228,2017,25,31,124
307,2017,32,29,90.625
477,2017,30,28,93.33333333
260,2017,29,26,89.65517241
470,2017,20,25,125
314,2017,16,25,156.25
357,2017,17,20,117.6470588
462,2017,22,20,90.90909091
390,2017,11,19,172.7272727
496,2017,26,19,73.07692308
207,2017,25,18,72
409,2017,25,17,68
375,2017,12,16,133.3333333
403,2017,16,16,100
50,2017,17,16,94.11764706
89,2017,17,16,94.11764706
395,2017,12,15,125
369,2017,17,15,88.23529412
371,2017,13,14,107.6923077
465,2017,6,14,233.3333333
452,2017,25,13,52
382,2017,26,13,50
424,2017,19,12,63.15789474
408,2017,16,12,75
473,2017,12,12,100
489,2017,9,11,122.2222222
232,2017,13,10,76.92307692
497,2017,12,9,75
84,2017,13,8,61.53846154
14,2017,9,8,88.88888889
495,2017,11,8,72.72727273
303,2017,7,8,114.2857143
377,2017,3,7,233.3333333
461,2017,12,7,58.33333333
367,2017,7,7,100
106,2017,8,7,87.5
472,2017,9,7,77.77777778
194,2017,3,7,233.3333333
480,2017,5,6,120
458,2017,8,5,62.5
430,2017,7,5,71.42857143
140,2017,7,5,71.42857143
15,2017,13,4,30.76923077
296,2017,11,4,36.36363636
299,2017,4,4,100
344,2017,7,4,57.14285714
490,2017,2,3,150
116,2017,4,2,50
293,2017,9,2,22.22222222
346,2017,5,2,40
485,2017,3,2,66.66666667
29,2017,3,2,66.66666667
67,2017,6,2,33.33333333
422,2017,7,2,28.57142857
483,2017,1,1,100
276,2017,1,1,100
80,2017,2,1,50
