Player_Id,Player_Name,Batting_hand,Country_Name,
485,Mohammad Nabi,Right-handed,Abroad,
472,Ankit Soni,Right-handed,Indian,
484,MJ Henry,Right-handed,Abroad,
488,RA Tripathi,Right-handed,Indian,
479,CR Woakes,Right-handed,Abroad,
473,AR Bawne,Right-handed,Indian,
481,JJ Roy,Right-handed,Abroad,
480,DM Bravo,Left-handed,Abroad,
482,K Rabada,Left-handed,Abroad,
497,Washington Sundar,Left-handed,Indian,
471,AJ Tye,Right-handed,Abroad,
30,T Kohli,Right-handed,Indian,
389,M de Lange,Right-handed,Abroad,
112,DB Ravi Teja,Right-handed,Indian,
104,BJ Hodge,Right-handed,Abroad,
423,PSP Handscomb,Right-handed,Abroad,
192,J Botha,Right-handed,Abroad,
96,MK Pandey,Right-handed,Indian,
421,SW Billings,Right-handed,Abroad,
200,SS Shaikh,Right-handed,Indian,
416,KJ Abbott,Right-handed,Abroad,
54,Y Venugopal Rao,Right-handed,Indian,
422,KC Cariappa,Right-handed,Indian,
7,W Jaffer,Right-handed,Indian,
120,MS Gony,Right-handed,Indian,
31,YK Pathan,Right-handed,Indian,
46,RV Uthappa,Right-handed,Indian,
352,SMSM Senanayake,Right-handed,Abroad,
88,KD Karthik,Right-handed,Indian,
10,CL White,Right-handed,Abroad,
455,V Shankar,Right-handed,Indian,
80,DS Kulkarni,Right-handed,Indian,
20,MS Dhoni,Right-handed,Indian,
453,P Suyal,Right-handed,Indian,
82,AB Agarkar,Right-handed,Indian,
84,I Sharma,Right-handed,Indian,
86,Shoaib Malik,Right-handed,Abroad,
443,C Ganapathy,Right-handed,Indian,
90,MF Maharoof,Right-handed,Indian,
368,S Kaul,Right-handed,Indian,
94,DW Steyn,Right-handed,Abroad,
419,NS Naik,Right-handed,Indian,
49,SM Pollock,Right-handed,Abroad,
400,HH Pandya,Right-handed,Indian,
204,OA Shah,Right-handed,Abroad,
406,SN Thakur,Right-handed,Indian,
212,P Dogra,Right-handed,Indian,
199,Y Nagar,Right-handed,Indian,
55,VVS Laxman,Right-handed,Indian,
381,Shivam Sharma,Right-handed,Indian,
193,C Nanda,Right-handed,Indian,
232,UT Yadav,Right-handed,Indian,
59,SB Bangar,Right-handed,Indian,
